"pais","nacionalidad","estado","ciudad"
"Afghanistan","Afghan","Balkh","Khulm"
"Afghanistan","Afghan","Nimruz","Khāsh"
"Afghanistan","Afghan","Khost","Khōst"
"Afghanistan","Afghan","Herat","Kuhsān"
"Afghanistan","Afghan","Kunduz Province","Kunduz"
"Afghanistan","Afghan","Herat","Kushk"
"Afghanistan","Afghan","Balkh","Lab-Sar"
"Afghanistan","Afghan","Sar-e Pol","Larkird"
"Afghanistan","Afghan","Helmand","Lashkar Gāh"
"Afghanistan","Afghan","Helmand","Markaz-e Ḩukūmat-e Darwēshān"
"Afghanistan","Afghan","Faryab","Maymana"
"Afghanistan","Afghan","Balkh","Mazār-e Sharīf"
"Afghanistan","Afghan","Laghman","Mehtar Lām"
"Afghanistan","Afghan","Kabul","Mīr Bachah Kōṯ"
"Afghanistan","Afghan","Nimruz","Mīrābād"
"Afghanistan","Afghan","Baghlan","Nahrīn"
"Afghanistan","Afghan","Daykundi","Nīlī"
"Afghanistan","Afghan","Kabul","Paghmān"
"Afghanistan","Afghan","Bamyan","Panjāb"
"Afghanistan","Afghan","Baghlan","Pul-e Khumrī"
"Afghanistan","Afghan","Logar","Pul-e ‘Alam"
"Afghanistan","Afghan","Nuristan","Pārūn"
"Afghanistan","Afghan","Badghis","Qala i Naw"
"Afghanistan","Afghan","Zabul","Qalāt"
"Afghanistan","Afghan","Sar-e Pol","Qal‘ah-ye Shahr"
"Afghanistan","Afghan","Herat","Qarah Bāgh"
"Afghanistan","Afghan","Balkh","Qarchī Gak"
"Afghanistan","Afghan","Jowzjan","Qarqīn"
"Afghanistan","Afghan","Kunduz Province","Qarāwul"
"Afghanistan","Afghan","Badakhshan","Rāghistān"
"Afghanistan","Afghan","Nimruz","Rūdbār"
"Afghanistan","Afghan","Sar-e Pol","Sang-e Chārak"
"Afghanistan","Afghan","Helmand","Sangīn"
"Afghanistan","Afghan","Sar-e Pol","Sar-e Pul"
"Afghanistan","Afghan","Paktika","Saṟōbī"
"Afghanistan","Afghan","Ghōr","Shahrak"
"Afghanistan","Afghan","Jowzjan","Shibirghān"
"Afghanistan","Afghan","Herat","Shīnḏanḏ"
"Afghanistan","Afghan","Kapisa","Sidqābād"
"Afghanistan","Afghan","Sar-e Pol","Tagāw-Bāy"
"Afghanistan","Afghan","Takhar","Taloqan"
"Afghanistan","Afghan","Urozgan","Tarinkot"
"Afghanistan","Afghan","Sar-e Pol","Tukzār"
"Afghanistan","Afghan","Herat","Tīr Pul"
"Afghanistan","Afghan","Urozgan","Uruzgān"
"Afghanistan","Afghan","Badakhshan","Wākhān"
"Afghanistan","Afghan","Nimruz","Zaranj"
"Afghanistan","Afghan","Paktika","Zarghūn Shahr"
"Afghanistan","Afghan","Paktika","Zaṟah Sharan"
"Afghanistan","Afghan","Herat","Zindah Jān"
"Afghanistan","Afghan","Jowzjan","Āqchah"
"Afghanistan","Afghan","Takhar","Ārt Khwājah"
"Afghanistan","Afghan","Kunar","Āsmār"
"Afghanistan","Afghan","Logar","Ḩukūmatī Azrah"
"Afghanistan","Afghan","Baghlan","Ḩukūmatī Dahanah-ye Ghōrī"
"Afghanistan","Afghan","Helmand","‘Alāqahdārī Dīshū"
"Afghanistan","Afghan","Faryab","Andkhoy"
"Afghanistan","Afghan","Kunar","Asadabad"
"Afghanistan","Afghan","Badakhshan","Ashkāsham"
"Afghanistan","Afghan","Samangan","Aībak"
"Afghanistan","Afghan","Baghlan","Baghlān"
"Afghanistan","Afghan","Balkh","Balkh"
"Afghanistan","Afghan","Logar","Baraki Barak"
"Afghanistan","Afghan","Bamyan","Bāmyān"
"Afghanistan","Afghan","Nangarhar","Bāsawul"
"Afghanistan","Afghan","Panjshir","Bāzārak"
"Afghanistan","Afghan","Herat","Chahār Burj"
"Afghanistan","Afghan","Parwan","Charikar"
"Afghanistan","Afghan","Sar-e Pol","Chīras"
"Afghanistan","Afghan","Jowzjan","Darzāb"
"Afghanistan","Afghan","Kunduz Province","Dasht-e Archī"
"Afghanistan","Afghan","Balkh","Dowlatābād"
"Afghanistan","Afghan","Farah","Farah"
"Afghanistan","Afghan","Ghōr","Fayrōz Kōh"
"Afghanistan","Afghan","Badakhshan","Fayzabad"
"Afghanistan","Afghan","Paktia","Gardez"
"Afghanistan","Afghan","Helmand","Gereshk"
"Afghanistan","Afghan","Ghazni","Ghazni"
"Afghanistan","Afghan","Badghis","Ghormach"
"Afghanistan","Afghan","Herat","Ghōriyān"
"Afghanistan","Afghan","Herat","Herāt"
"Afghanistan","Afghan","Kunduz Province","Imām Şāḩib"
"Afghanistan","Afghan","Parwan","Jabal os Saraj"
"Afghanistan","Afghan","Nangarhar","Jalālābād"
"Afghanistan","Afghan","Badakhshan","Jurm"
"Afghanistan","Afghan","Kabul","Kabul"
"Afghanistan","Afghan","Herat","Kafir Qala"
"Afghanistan","Afghan","Kandahar","Kandahār"
"Afghanistan","Afghan","Herat","Karukh"
"Afghanistan","Afghan","Kunduz Province","Khanabad"
"Afghanistan","Afghan","Badakhshan","Khandūd"
"Albania","Albanian ","Vlorë","Bashkia Vlorë"
"Albania","Albanian ","Shkodër","Bashkia Vau i Dejës"
"Albania","Albanian ","Gjirokastër","Bashkia Tepelenë"
"Albania","Albanian ","Berat","Bashkia Skrapar"
"Albania","Albanian ","Durrës","Bashkia Shijak"
"Albania","Albanian ","Vlorë","Bashkia Selenicë"
"Albania","Albanian ","Gjirokastër","Bashkia Përmet"
"Albania","Albanian ","Korçë","Bashkia Pustec"
"Albania","Albanian ","Shkodër","Bashkia Pukë"
"Albania","Albanian ","Berat","Bashkia Poliçan"
"Albania","Albanian ","Fier","Bashkia Patos"
"Albania","Albanian ","Lezhë","Bashkia Mirditë"
"Albania","Albanian ","Gjirokastër","Bashkia Memaliaj"
"Albania","Albanian ","Kukës","Bajram Curri"
"Albania","Albanian ","Fier","Ballsh"
"Albania","Albanian ","Berat","Banaj"
"Albania","Albanian ","Berat","Bashkia Berat"
"Albania","Albanian ","Dibër","Bashkia Bulqizë"
"Albania","Albanian ","Korçë","Bashkia Devoll"
"Albania","Albanian ","Fier","Bashkia Divjakë"
"Albania","Albanian ","Gjirokastër","Bashkia Dropull"
"Albania","Albanian ","Durrës","Bashkia Durrës"
"Albania","Albanian ","Fier","Bashkia Fier"
"Albania","Albanian ","Vlorë","Bashkia Finiq"
